"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"single-stim-button","57","276881","0.0-14.0-2.0","2141","1","digit-span","true","0","","4906","","","response","","","","","","4906","1000","test","5,7,4","3","SubmitButton","4906","4,7,5","reverse","true"
"html-keyboard-response","58","277887","0.0-14.0-3.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","59","282514","0.0-14.0-4.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","2,5,9","3","","","","",""
"single-stim-button","60","288591","0.0-14.0-5.0","2141","1","digit-span","true","0","","6075","","","response","","","","","","6075","1000","test","2,5,9","3","SubmitButton","6075","9,5,2","reverse","true"
"html-keyboard-response","61","289605","0.0-15.0-0.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","62","295461","0.0-15.0-1.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","7,2,9,6","4","","","","",""
"single-stim-button","63","302402","0.0-15.0-2.0","2141","1","digit-span","true","0","","6940","","","response","","","","","","6940","1000","test","7,2,9,6","4","SubmitButton","6940","6,9,2,7","reverse","true"
"html-keyboard-response","64","303406","0.0-15.0-3.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","65","309251","0.0-15.0-4.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","8,4,9,3","4","","","","",""
"single-stim-button","66","320880","0.0-15.0-5.0","2141","1","digit-span","true","0","","11628","","","response","","","","","","11628","1000","test","8,4,9,3","4","SubmitButton","11628","3,9,4,8","reverse","true"
"html-keyboard-response","67","321885","0.0-16.0-0.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","68","328912","0.0-16.0-1.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","4,1,3,5,7","5","","","","",""
"single-stim-button","69","339542","0.0-16.0-2.0","2141","1","digit-span","true","0","","10629","","","response","","","","","","10629","1000","test","4,1,3,5,7","5","SubmitButton","10629","7,5,3,1,4","reverse","true"
"html-keyboard-response","70","340560","0.0-16.0-3.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","71","347613","0.0-16.0-4.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","9,7,8,5,2","5","","","","",""
"single-stim-button","72","367542","0.0-16.0-5.0","2141","1","digit-span","true","0","","19928","","","response","","","","","","19928","1000","test","9,7,8,5,2","5","SubmitButton","19928","2,8,5,7,4","reverse","false"
"html-keyboard-response","73","368546","0.0-17.0-0.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>6 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","74","376777","0.0-17.0-1.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000,1000]","7200","0","test","1,6,5,2,9,8","6","","","","",""
"single-stim-button","75","388161","0.0-17.0-2.0","2141","1","digit-span","true","0","","11384","","","response","","","","","","11384","1000","test","1,6,5,2,9,8","6","SubmitButton","11384","8,7,9,5,2,1","reverse","false"
"html-keyboard-response","76","389163","0.0-17.0-3.0","2141","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>6 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","77","397399","0.0-17.0-4.0","2141","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000,1000]","7200","0","test","3,6,7,1,9,4","6","","","","",""
"single-stim-button","78","427266","0.0-17.0-5.0","2141","1","digit-span","true","0","","29866","","","response","","","","","","29866","1000","test","3,6,7,1,9,4","6","SubmitButton","29866","8,9,7,4,2,3","reverse","false"
"image-keyboard-response","79","429363","0.0-20.0","2141","1","digit-span","true","0","","2095.7999999970198","img/trophy2.jpeg","13","end","","","","","","","","","","","","","","",""
